model,price,
"Notebook HP Pavilion 2 en 1 14-dh0004la Intel Core I5 -8265u 8GB 256GB SSD 14"" + Multifuncional HP Ink Advantage 2675",$689.990
Notebook Asus Vivobook X412fa-ek728t Intel Core i3 4GB Ram 256GB SSD 14,$449.990
Notebook HP 14-ck0039la Intel Celeron N4000 4GB 500GB 14.0,$289.990
Notebook Lenovo S145 AMD Serie A 8GB 15.6,$339.990
"Tablet Samsung Galaxy Tab 8.0"" SM-T290 Negro",$129.990
"Microsoft 365 Personal: Word, Excel, OneDrive y más",$24.990
Tablet Alcatel 8067 16GB Wifi + Bluetooth Azul Oscuro,$45.990
Notebook HP 14-cm0029la AMD Serie A4 AMD Radeon 3 4GB RAM 500GB HDD 14,$269.990
"Tablet Samsung Galaxy Tab A 10,1"" 32GB WIFI Dorado",$169.990
Tablet Huawei Mediapad T3 16GB 10 Gris,$124.990
"iPad 128GB 10.2"" Space Grey WI-FI",$429.990
"iPad 128GB 10.2"" Silver WI-FI",$429.990
"Tablet Samsung Galaxy Tab A 2019 32GB 10.1"" Negro Wifi",$174.990
"iPad 32GB 10.2"" Silver WI-FI",$339.990
"Tablet Samsung Galaxy Tab A 8"" 32GB WIFI Plateado",$129.990
Licencia Microsoft Office Hogar y Estudiante,$54.990
Notebook Lenovo Ideapad S145-15iil Intel Core i3 Intel UHD Graphics 4GB RAM 1TB HDD + 128 GB SSD 15.6,$449.990
"Amazon Kindle e-Reader 6"" Luz Incorporada 4 GB Blanco",$109.990
"iPad 128GB 10.2"" Gold WI-FI",$429.990
"iPad 32GB 10.2"" Gold WI-FI",$339.990
"Notebook Asus VivoBook X512DA-EJ564T AMD R5 12GB RAM 512G SSD 15,6",$579.990
"Tablet Huawei Mediapad T3 8GB 7"" Gris",$65.990
"Nuevo Kindle Paperwhite e-Reader 6"" 8 GB Resistente al Agua ",$149.990
"Tablet Samsung Galaxy Tab A 10,1"" 32GB WIFI+4G Dorado",$199.990
"iPad Mini 5 7.9"" 64GB Space Grey",$399.990
Ipad Pro 12.9 Wifi 1TB Space Grey,$1.599.990
"Tablet Samsung Galaxy Tab A 8"" 32GB WIFI+4G Plateado",$149.990
Ipad Pro 12.9 WIFI 512GB Space grey,$1.399.990
Teclado y Funda Zagg IM4ZFK-BB0 para iPad Mini,$29.990
"Tablet Samsung Galaxy Tab A 32GB 8"" Negro + Lápiz",$199.990
Tablet Soy Momo Control Parental Rosado 8'' 32GB WIFI,$99.990
Matebook Huawei D-14 AMD Ryzen 5 Radeon Vega 8 8GB RAM 512 GB SSD 14,$579.990
All In One HP 24-f112la AMD Ryzen 3 Radeon Vega 4GB RAM 256GB+ 1TB 24,$479.990
Tablet Lenovo TB-X104F 16GB Negro Wifi,$114.990
"Tablet Alcatal 1T 10"" 16GB Negro Wifi",$99.990
Notebook HP 15-DA0071LA Intel Pentium 4GB RAM 500GB 15.6,$249.990
Notebook Asus Zenbook ux434flc-ai283ts Intel Core i7 Nvidia Geforce MX250 16GB Ram 512GB SSD 14,$1.179.990
"Macbook Air 13,3"" Intel i5 8GB RAM 128GB SSD",$799.990
Tablet Samsung Galaxy Tab A 32GB Gris Wifi + Pen,$199.990
"Tablet Lenovo Tab E8 16GB 8"" Negro Wifi",$84.990
"Notebook HP Pavilion 2 en 1 14-dh0004la Intel Core I5 -8265u 8GB 256GB SSD 14"" + Multifuncional HP Ink Advantage 2675",$689.990
Notebook Asus Vivobook X412fa-ek728t Intel Core i3 4GB Ram 256GB SSD 14,$449.990
Notebook HP 14-ck0039la Intel Celeron N4000 4GB 500GB 14.0,$289.990
Notebook Lenovo S145 AMD Serie A 8GB 15.6,$339.990
"Tablet Samsung Galaxy Tab 8.0"" SM-T290 Negro",$129.990
"Microsoft 365 Personal: Word, Excel, OneDrive y más",$24.990
Tablet Alcatel 8067 16GB Wifi + Bluetooth Azul Oscuro,$45.990
Notebook HP 14-cm0029la AMD Serie A4 AMD Radeon 3 4GB RAM 500GB HDD 14,$269.990
"Tablet Samsung Galaxy Tab A 10,1"" 32GB WIFI Dorado",$169.990
Tablet Huawei Mediapad T3 16GB 10 Gris,$124.990
"iPad 128GB 10.2"" Space Grey WI-FI",$429.990
"iPad 128GB 10.2"" Silver WI-FI",$429.990
"Tablet Samsung Galaxy Tab A 2019 32GB 10.1"" Negro Wifi",$174.990
"iPad 32GB 10.2"" Silver WI-FI",$339.990
"Tablet Samsung Galaxy Tab A 8"" 32GB WIFI Plateado",$129.990
Licencia Microsoft Office Hogar y Estudiante,$54.990
Notebook Lenovo Ideapad S145-15iil Intel Core i3 Intel UHD Graphics 4GB RAM 1TB HDD + 128 GB SSD 15.6,$449.990
"Amazon Kindle e-Reader 6"" Luz Incorporada 4 GB Blanco",$109.990
"iPad 128GB 10.2"" Gold WI-FI",$429.990
"iPad 32GB 10.2"" Gold WI-FI",$339.990
"Notebook Asus VivoBook X512DA-EJ564T AMD R5 12GB RAM 512G SSD 15,6",$579.990
"Tablet Huawei Mediapad T3 8GB 7"" Gris",$65.990
"Nuevo Kindle Paperwhite e-Reader 6"" 8 GB Resistente al Agua ",$149.990
"Tablet Samsung Galaxy Tab A 10,1"" 32GB WIFI+4G Dorado",$199.990
"iPad Mini 5 7.9"" 64GB Space Grey",$399.990
Ipad Pro 12.9 Wifi 1TB Space Grey,$1.599.990
"Tablet Samsung Galaxy Tab A 8"" 32GB WIFI+4G Plateado",$149.990
Ipad Pro 12.9 WIFI 512GB Space grey,$1.399.990
Teclado y Funda Zagg IM4ZFK-BB0 para iPad Mini,$29.990
"Tablet Samsung Galaxy Tab A 32GB 8"" Negro + Lápiz",$199.990
Tablet Soy Momo Control Parental Rosado 8'' 32GB WIFI,$99.990
Matebook Huawei D-14 AMD Ryzen 5 Radeon Vega 8 8GB RAM 512 GB SSD 14,$579.990
All In One HP 24-f112la AMD Ryzen 3 Radeon Vega 4GB RAM 256GB+ 1TB 24,$479.990
Tablet Lenovo TB-X104F 16GB Negro Wifi,$114.990
"Tablet Alcatal 1T 10"" 16GB Negro Wifi",$99.990
Notebook HP 15-DA0071LA Intel Pentium 4GB RAM 500GB 15.6,$249.990
Notebook Asus Zenbook ux434flc-ai283ts Intel Core i7 Nvidia Geforce MX250 16GB Ram 512GB SSD 14,$1.179.990
"Macbook Air 13,3"" Intel i5 8GB RAM 128GB SSD",$799.990
Tablet Samsung Galaxy Tab A 32GB Gris Wifi + Pen,$199.990
"Tablet Lenovo Tab E8 16GB 8"" Negro Wifi",$84.990
"Notebook HP Pavilion 2 en 1 14-dh0004la Intel Core I5 -8265u 8GB 256GB SSD 14"" + Multifuncional HP Ink Advantage 2675",$689.990
Notebook Asus Vivobook X412fa-ek728t Intel Core i3 4GB Ram 256GB SSD 14,$449.990
Notebook HP 14-ck0039la Intel Celeron N4000 4GB 500GB 14.0,$289.990
Notebook Lenovo S145 AMD Serie A 8GB 15.6,$339.990
"Tablet Samsung Galaxy Tab 8.0"" SM-T290 Negro",$129.990
"Microsoft 365 Personal: Word, Excel, OneDrive y más",$24.990
Tablet Alcatel 8067 16GB Wifi + Bluetooth Azul Oscuro,$45.990
Notebook HP 14-cm0029la AMD Serie A4 AMD Radeon 3 4GB RAM 500GB HDD 14,$269.990
"Tablet Samsung Galaxy Tab A 10,1"" 32GB WIFI Dorado",$169.990
Tablet Huawei Mediapad T3 16GB 10 Gris,$124.990
"iPad 128GB 10.2"" Space Grey WI-FI",$429.990
"iPad 128GB 10.2"" Silver WI-FI",$429.990
"Tablet Samsung Galaxy Tab A 2019 32GB 10.1"" Negro Wifi",$174.990
"iPad 32GB 10.2"" Silver WI-FI",$339.990
"Tablet Samsung Galaxy Tab A 8"" 32GB WIFI Plateado",$129.990
Licencia Microsoft Office Hogar y Estudiante,$54.990
Notebook Lenovo Ideapad S145-15iil Intel Core i3 Intel UHD Graphics 4GB RAM 1TB HDD + 128 GB SSD 15.6,$449.990
"Amazon Kindle e-Reader 6"" Luz Incorporada 4 GB Blanco",$109.990
"iPad 128GB 10.2"" Gold WI-FI",$429.990
"iPad 32GB 10.2"" Gold WI-FI",$339.990
"Notebook Asus VivoBook X512DA-EJ564T AMD R5 12GB RAM 512G SSD 15,6",$579.990
"Tablet Huawei Mediapad T3 8GB 7"" Gris",$65.990
"Nuevo Kindle Paperwhite e-Reader 6"" 8 GB Resistente al Agua ",$149.990
"Tablet Samsung Galaxy Tab A 10,1"" 32GB WIFI+4G Dorado",$199.990
"iPad Mini 5 7.9"" 64GB Space Grey",$399.990
Ipad Pro 12.9 Wifi 1TB Space Grey,$1.599.990
"Tablet Samsung Galaxy Tab A 8"" 32GB WIFI+4G Plateado",$149.990
Ipad Pro 12.9 WIFI 512GB Space grey,$1.399.990
Teclado y Funda Zagg IM4ZFK-BB0 para iPad Mini,$29.990
"Tablet Samsung Galaxy Tab A 32GB 8"" Negro + Lápiz",$199.990
Tablet Soy Momo Control Parental Rosado 8'' 32GB WIFI,$99.990
Matebook Huawei D-14 AMD Ryzen 5 Radeon Vega 8 8GB RAM 512 GB SSD 14,$579.990
All In One HP 24-f112la AMD Ryzen 3 Radeon Vega 4GB RAM 256GB+ 1TB 24,$479.990
Tablet Lenovo TB-X104F 16GB Negro Wifi,$114.990
"Tablet Alcatal 1T 10"" 16GB Negro Wifi",$99.990
Notebook HP 15-DA0071LA Intel Pentium 4GB RAM 500GB 15.6,$249.990
Notebook Asus Zenbook ux434flc-ai283ts Intel Core i7 Nvidia Geforce MX250 16GB Ram 512GB SSD 14,$1.179.990
"Macbook Air 13,3"" Intel i5 8GB RAM 128GB SSD",$799.990
Tablet Samsung Galaxy Tab A 32GB Gris Wifi + Pen,$199.990
"Tablet Lenovo Tab E8 16GB 8"" Negro Wifi",$84.990
